Date,SP500,cpi
2014-12-18,-1278.1660738412813,-0.7374568041270209
2014-12-19,-1276.9371167185457,-0.7657569450961148
2014-12-22,-1276.0809158268892,-0.7854733416110946
2014-12-23,-1275.5210754035036,-0.7983652176650935
2014-12-24,-1274.8098381740433,-0.8147434244258136
2014-12-26,-1273.8529559655876,-0.8367782870659539
2014-12-29,-1271.6920995481578,-0.8865379899033599
2014-12-30,-1270.2260575376035,-0.9202976669480165
2014-12-31,-1267.8866857360417,-0.9741681808484088
2015-01-02,-1266.2881952150074,-2.5163768330473033
2015-01-05,-1264.9849692767625,-2.546387219158106
2015-01-06,-1264.0580735384183,-2.5677315602856368
2015-01-07,-1260.2619346112438,-2.6551481713210023
2015-01-08,-1256.7450185359921,-2.7361349029691553
2015-01-09,-1257.917559253332,-2.7091339059621475
2015-01-12,-1260.9446062411243,-2.6394277665942525
2015-01-13,-1264.9085560799608,-2.548146844617264
2015-01-14,-1269.9714926143924,-2.431558710669151
2015-01-15,-1276.3419351326565,-2.2848616307083205
2015-01-16,-1281.2941919545865,-2.170822203633918
2015-01-20,-1286.1514770928343,-2.058969762571138
2015-01-21,-1289.5955713740998,-1.9796599543870173
2015-01-22,-1289.2920804021799,-1.9866486744402039
2015-01-23,-1289.7476655399448,-1.976157565040495
2015-01-26,-1287.1404901526944,-2.0361949981009104
2015-01-27,-1285.2167099060857,-2.0804953655957377
2015-01-28,-1286.9119740730505,-2.0414572136395748
2015-01-29,-1289.8319066001652,-1.9742176813492733
2015-01-30,-1293.3895397689898,-1.8922933258681383
2015-02-02,-1293.9049897541925,-1.2852659257364678
2015-02-03,-1291.976929461995,-1.329664853133238
2015-02-04,-1289.817502632094,-1.3793916357589922
2015-02-05,-1284.8295409899383,-1.494253265192583
2015-02-06,-1282.255228681851,-1.5535339348510888
2015-02-09,-1280.5278336634815,-1.5933119886373106
2015-02-10,-1277.9235174512883,-1.6532835812744224
2015-02-11,-1277.539324519981,-1.6621306874217225
2015-02-12,-1274.9214533772574,-1.7224144198704892
2015-02-13,-1272.07221569683,-1.7880260075482113
2015-02-17,-1267.0171244598114,-1.9044334817982644
2015-02-18,-1260.053263645234,-2.0647956613208294
2015-02-19,-1254.6118525296092,-2.190099220569664
2015-02-20,-1246.377602704959,-2.379715625000131
2015-02-23,-1240.0357170692773,-2.5257551036600034
2015-02-24,-1235.3619595885089,-2.6333813121860317
2015-02-25,-1230.1954651282272,-2.7523541541486054
2015-02-26,-1226.7520943577229,-2.8316473014939163
2015-02-27,-1223.2508775942943,-2.9122725130129368
2015-03-02,-1218.191197733695,-2.3946175771316973
2015-03-03,-1215.3926581085498,-2.4590617016939404
2015-03-04,-1213.2503688949969,-2.5083938432459263
2015-03-05,-1212.353459626764,-2.5290476628608474
2015-03-06,-1214.1908282808686,-2.4867371615737
2015-03-09,-1215.6840150204712,-2.452352401973741
2015-03-10,-1219.6486709360747,-2.361055220623939
2015-03-11,-1223.7340136768803,-2.266978890918864
2015-03-12,-1226.9010382045135,-2.1940493810714656
2015-03-13,-1230.9185452736888,-2.1015351555556947
2015-03-16,-1233.3671846342181,-2.0451484535272186
2015-03-17,-1236.1935837821766,-1.9800627863038471
2015-03-18,-1236.9962274434947,-1.9615796933276783
2015-03-19,-1238.0837948728558,-1.936535441583743
2015-03-20,-1238.7471757880971,-1.9212592589812516
2015-03-23,-1238.9871198509727,-1.9157338824823853
2015-03-24,-1239.4891317154274,-1.904173669136128
2015-03-25,-1242.3448025397338,-1.8384139405059727
2015-03-26,-1243.423809877917,-1.8135668085659233
2015-03-27,-1244.7384550823958,-1.7832934622279595
2015-03-30,-1241.733540550305,-1.8524899405143174
2015-03-31,-1239.7590709654119,-1.897957570391668
2015-04-01,-1240.2004326821489,-1.6417287790800117
2015-04-02,-1239.2321137734648,-1.664027003413338
2015-04-06,-1239.2728047160463,-1.6630899817793647
2015-04-07,-1239.1264114663213,-1.6664610917452762
2015-04-08,-1240.3832281118703,-1.637519408115054
2015-04-09,-1240.2468419748448,-1.6406600765994312
2015-04-10,-1240.6781589926127,-1.6307278078657532
